Product,Category,Qty,Price,Total Price,Purchased at,Store,Source,Purchase Date
Билет Исаакиевский Собор,Trips,1,284,284,"August 1, 2022 2:51 PM (GMT+3)",Trips,Tinkoff,"August 1, 2022 6:51 PM (GMT+7)"
мандарины вес,Fruit,0.6,149.9,89.94,"August 1, 2022 2:51 PM (GMT+3)",Дикси,Tinkoff,"August 1, 2022 6:51 PM (GMT+7)"
Кекс мраморный,Snack,1,59.99,59.99,"August 1, 2022 2:51 PM (GMT+3)",Дикси,Tinkoff,"August 1, 2022 6:51 PM (GMT+7)"
Шаверма в пите,Snack,1,160,160,"August 1, 2022 2:51 PM (GMT+3)",Pirli,Tinkoff,"August 1, 2022 6:51 PM (GMT+7)"
Молоко,Optionals,1,64.99,64.99,"August 1, 2022 2:51 PM (GMT+3)",Дикси,Tinkoff,"August 1, 2022 6:51 PM (GMT+7)"
Килька Sardines,Optionals,3,29.9,89.7,"August 2, 2022 2:15 PM (GMT+3)",Народны,Tinkoff,"August 2, 2022 6:15 PM (GMT+7)"
Супер Контик,Snack,3,29.9,89.7,"August 2, 2022 2:15 PM (GMT+3)",Народны,Tinkoff,"August 2, 2022 6:15 PM (GMT+7)"
Капуста,Vegetables,0.4,55.99,22.396,"August 2, 2022 2:15 PM (GMT+3)",Народны,Tinkoff,"August 2, 2022 6:15 PM (GMT+7)"
Яйцо,Eggs,1,49.9,49.9,"August 2, 2022 2:15 PM (GMT+3)",Народны,Tinkoff,"August 2, 2022 6:15 PM (GMT+7)"
Доширак,Noodle,4,19.9,79.6,"August 2, 2022 2:15 PM (GMT+3)",Народны,Tinkoff,"August 2, 2022 6:15 PM (GMT+7)"
Филе куриное,Meat,0.762,259.9,198.0438,"August 2, 2022 2:15 PM (GMT+3)",Народны,Tinkoff,"August 2, 2022 6:15 PM (GMT+7)"
Хлеб,Optionals,1,18.9,18.9,"August 2, 2022 2:15 PM (GMT+3)",Народны,Tinkoff,"August 2, 2022 6:15 PM (GMT+7)"
Блинчики с вареной,Snack,2,37.9,75.8,"August 2, 2022 2:15 PM (GMT+3)",Народны,Tinkoff,"August 2, 2022 6:15 PM (GMT+7)"
Морковь,Vegetables,0.6,33.99,20.394,"August 2, 2022 2:15 PM (GMT+3)",Народны,Tinkoff,"August 2, 2022 6:15 PM (GMT+7)"
Крупа,Primary,3,62.99,188.97,"August 2, 2022 5:31 PM (GMT+3)",Дикси,Tinkoff,"August 2, 2022 9:31 PM (GMT+7)"
Гель для душа,Bathing Stuff,1,149.9,149.9,"August 2, 2022 6:48 PM (GMT+3)",Дикси,Tinkoff,"August 2, 2022 10:48 PM (GMT+7)"
Посуды первым делом,Kitchen Stuff,1,19.99,19.99,"August 2, 2022 6:48 PM (GMT+3)",Дикси,Tinkoff,"August 2, 2022 10:48 PM (GMT+7)"
Шаверма в лаваше,Snack,1,170,170,"August 2, 2022 6:54 PM (GMT+3)",Шаверма от шера,Tinkoff,"August 2, 2022 10:54 PM (GMT+7)"
Общежитие,Dormitory,1,1854.72,1854.72,"August 3, 2022 11:33 AM (GMT+3)",ИТМО,БСПБ МИР,"August 3, 2022 3:33 PM (GMT+7)"
Бургер Кинг,Fast food,1,149.98,149.98,"August 3, 2022 9:41 PM (GMT+3)",Бургер Кинг,Tinkoff,"August 4, 2022 1:41 AM (GMT+7)"
Самса с курины,Snack,2,60,120,"August 4, 2022 9:24 PM (GMT+3)",Pirli,Tinkoff,"August 5, 2022 1:24 AM (GMT+7)"
Автоьус,Transport,1,60,60,"August 5, 2022 8:15 PM (GMT+3)",Trips,Tinkoff,"August 6, 2022 12:15 AM (GMT+7)"
Yota,Connectivity,1,484,484,"August 8, 2022 3:16 PM (GMT+3)",Yota,Tinkoff,"August 8, 2022 7:16 PM (GMT+7)"
Whiskas,Others,1,26.99,26.99,"August 8, 2022 8:58 PM (GMT+3)",Дикси,Tinkoff,"August 9, 2022 12:58 AM (GMT+7)"
Батон,Optionals,1,14.48,14.48,"August 8, 2022 8:58 PM (GMT+3)",Дикси,Tinkoff,"August 9, 2022 12:58 AM (GMT+7)"
Наггетсы CHIKON,Optionals,1,144.99,144.99,"August 9, 2022 10:31 AM (GMT+3)",Лента,Tinkoff,"August 9, 2022 2:31 PM (GMT+7)"
Паста 365,Optionals,1,126.39,126.39,"August 9, 2022 10:31 AM (GMT+3)",Лента,Tinkoff,"August 9, 2022 2:31 PM (GMT+7)"
Крекер 365,Snack,1,36.99,36.99,"August 9, 2022 10:31 AM (GMT+3)",Лента,Tinkoff,"August 9, 2022 2:31 PM (GMT+7)"
Шаверма,Snack,1,170,170,"August 9, 2022 10:37 AM (GMT+3)",Шаверма от шера,Tinkoff,"August 9, 2022 2:37 PM (GMT+7)"
Мандарины вес,Fruit,0.47,149.9,70.453,"August 9, 2022 11:01 AM (GMT+3)",Дикси,Tinkoff,"August 9, 2022 3:01 PM (GMT+7)"
Крекер 365,Snack,1,37,37,"August 10, 2022 8:58 PM (GMT+3)",Лента,Tinkoff,"August 11, 2022 12:58 AM (GMT+7)"
Садака Инсан,Charity,1,1000,1000,"August 12, 2022 12:57 AM (GMT+3)",Инсан,Tinkoff,"August 12, 2022 4:57 AM (GMT+7)"
Трамвай,Transport,1,60,60,"August 13, 2022 8:33 PM (GMT+3)",Авто,БСПБ МИР,"August 14, 2022 12:33 AM (GMT+7)"
Автобус,Transport,1,60,60,"August 13, 2022 10:39 PM (GMT+3)",Авто,БСПБ МИР,"August 14, 2022 2:39 AM (GMT+7)"
Кфс картофель,Snack,1,54,54,"August 13, 2022 10:50 PM (GMT+3)",Кфс,Tinkoff,"August 14, 2022 2:50 AM (GMT+7)"
